, Maximo de coches calle maxima semaforo a la mitad    max_autos = 5000  longitud_total = 2000  posicion_semaforo = 1000.

ID,Entrada,Semaforo,Salida,Detenido,VelProm
# ESTADISTICAS_GENERALES
TiempoTotal,36720.85
VehiculosCreados,5000
VehiculosCompletados,5000
CiclosSemaforo,834
TiempoPromedio,245.27
VelocidadPromedio,8.29
TiempoDetenidoPromedio,32.85
Eficiencia,82.9
# DATOS_VEHICULOS
ID,Entrada,Semaforo,Salida,Detenido,VelProm
393,2865.00,2994.90,3096.25,8.90,8.65
394,2871.00,3003.95,3105.15,18.20,8.54
395,2877.00,3008.50,3109.70,14.10,8.59
396,2882.00,3014.75,3115.95,23.50,8.55
397,2889.00,3020.25,3125.75,34.45,8.45
398,2907.00,3036.95,3139.30,21.20,8.61
399,2910.00,3042.35,3144.35,14.25,8.53
400,2913.00,3045.95,3151.50,10.85,8.39
401,2917.00,3050.40,3154.70,24.50,8.41
402,2925.00,3056.90,3158.25,16.70,8.57
403,2930.00,3082.45,3183.95,57.70,7.88
404,2950.00,3085.70,3190.85,28.30,8.30
405,2953.00,3093.65,3195.35,22.50,8.25
406,2958.00,3099.50,3200.80,22.00,8.24
407,2965.00,3104.05,3207.75,25.00,8.24
408,2970.00,3125.85,3227.65,46.90,7.76
409,2976.00,3132.05,3233.35,57.90,7.77
410,2995.00,3135.45,3240.65,23.70,8.14
411,3000.00,3142.60,3244.10,20.30,8.19
412,3006.00,3147.60,3248.80,28.30,8.24
413,3013.00,3154.35,3259.15,23.15,8.13
414,3019.00,3170.60,3272.05,46.60,7.90
415,3038.00,3174.65,3275.90,26.60,8.41
416,3042.00,3177.75,3278.95,21.40,8.44
417,3045.00,3183.00,3284.20,28.00,8.36
418,3050.00,3190.45,3291.65,25.30,8.28
419,3056.00,3194.25,3299.75,29.10,8.21
420,3060.00,3214.00,3315.70,53.10,7.82
421,3065.00,3219.70,3321.00,52.80,7.81
422,3087.00,3223.45,3324.70,19.25,8.41
423,3090.00,3228.35,3329.55,22.70,8.35
424,3097.00,3231.60,3332.85,26.20,8.48
425,3102.00,3236.80,3338.05,26.70,8.47
426,3108.00,3257.25,3359.40,45.40,7.96
427,3112.00,3262.60,3364.55,42.90,7.92
428,3132.00,3269.55,3371.15,30.30,8.36
429,3138.00,3274.65,3375.90,25.70,8.41
430,3142.00,3280.40,3381.60,23.65,8.35
431,3149.00,3283.90,3389.45,29.80,8.32
432,3170.00,3301.35,3403.40,17.60,8.57
433,3173.00,3307.00,3408.20,23.60,8.50
434,3177.00,3311.65,3412.85,22.00,8.48
435,3184.00,3316.90,3418.10,15.50,8.54
436,3190.00,3323.65,3424.85,21.50,8.52
437,3193.00,3327.25,3432.70,26.70,8.34
438,3213.00,3332.10,3437.30,0.60,8.92
439,3217.00,3346.05,3447.75,16.60,8.67
440,3223.00,3355.85,3457.05,29.60,8.55
