ID,Entrada,Semaforo,Salida,Detenido,VelProm
# ESTADISTICAS_GENERALES
TiempoTotal,37703.05
VehiculosCreados,5000
VehiculosCompletados,5000
CiclosSemaforo,856
TiempoPromedio,219.59
VelocidadPromedio,9.12
TiempoDetenidoPromedio,13.78
Eficiencia,91.2
# DATOS_VEHICULOS
ID,Entrada,Semaforo,Salida,Detenido,VelProm
506,3830.00,3845.10,4042.50,3.10,9.41
507,3837.00,3849.55,4047.00,0.00,9.52
508,3842.00,3856.50,4058.00,0.80,9.26
509,3848.00,3872.90,4071.50,17.70,8.95
510,3852.00,3878.35,4075.75,30.10,8.94
511,3874.00,3885.30,4082.75,0.00,9.58
512,3877.00,3890.95,4088.35,0.00,9.46
513,3880.00,3894.85,4092.25,1.10,9.42
514,3888.00,3899.05,4100.70,0.00,9.40
515,3895.00,3918.20,4116.00,24.20,9.05
516,3898.00,3923.90,4121.40,22.70,8.95
517,3901.00,3927.15,4124.55,29.90,8.95
518,3919.00,3932.15,4129.55,0.00,9.50
519,3923.00,3935.50,4132.90,2.50,9.53
520,3931.00,3942.55,4144.00,0.00,9.39
521,3934.00,3961.05,4159.55,21.90,8.87
522,3938.00,3966.60,4164.25,20.60,8.84
523,3946.00,3971.35,4168.75,27.90,8.98
524,3963.00,3977.35,4174.80,0.00,9.44
525,3966.00,3982.15,4179.55,0.50,9.37
526,3972.00,3986.10,4187.80,0.30,9.27
527,3979.00,4007.40,4204.85,31.30,8.86
